epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
18,113,,,,,,102308.4296875,222.30609130859375
18,113,,,138369.71875,231.78863525390625,,,
19,114,,,,,229.1230926513672,,
19,119,,,,,222.8770294189453,,
19,119,,,,,,98655.25,215.39503479003906
19,119,,,115413.40625,226.0321044921875,,,
20,124,,,,,183.2213134765625,,
20,125,,,,,,101579.3671875,205.7484893798828
20,125,,,124200.5234375,241.5093231201172,,,
21,129,,,,,245.95632934570312,,
21,131,,,,,,104739.4921875,229.8581085205078
21,131,,,82608.6484375,202.4729461669922,,,
22,134,,,,,248.38674926757812,,
22,137,,,,,,116922.125,224.96499633789062
22,137,,,114282.4453125,230.20877075195312,,,
23,139,,,,,276.9491271972656,,
23,143,,,,,,103948.328125,224.84246826171875
23,143,,,118591.859375,226.27903747558594,,,
24,144,,,,,299.0596618652344,,
24,149,,,,,167.1931915283203,,
24,149,,,,,,101442.21875,213.3178253173828
24,149,,,95659.734375,209.35304260253906,,,
25,154,,,,,137.26597595214844,,
25,155,,,,,,118787.59375,242.1587371826172
25,155,,,121964.25,236.42193603515625,,,
26,159,,,,,168.26719665527344,,
26,161,,,,,,113476.2734375,224.99497985839844
26,161,,,90301.4453125,216.99676513671875,,,
27,164,,,,,284.24456787109375,,
27,167,,,,,,144991.890625,247.75836181640625
27,167,,,96958.984375,214.30612182617188,,,
28,169,,,,,261.6336975097656,,
28,173,,,,,,118442.5234375,231.48907470703125
28,173,,,122645.875,235.44107055664062,,,
29,174,,,,,209.48583984375,,
29,179,,,,,273.7391357421875,,
29,179,,,,,,168837.734375,261.5339660644531
29,179,,,117171.78125,225.52810668945312,,,
30,184,,,,,164.0643310546875,,
30,185,,,,,,146799.484375,241.538818359375
30,185,,,106878.7734375,222.81385803222656,,,
31,189,,,,,219.89552307128906,,
31,191,,,,,,109545.34375,207.4683074951172
31,191,,,114162.609375,222.90374755859375,,,
32,194,,,,,237.2066650390625,,
32,197,,,,,,107202.8984375,224.8518524169922
32,197,,,98434.546875,208.3033447265625,,,
33,199,,,,,378.7643127441406,,
33,203,,,,,,117474.546875,229.38006591796875
33,203,,,132217.15625,263.2865295410156,,,
34,204,,,,,201.94528198242188,,
34,209,,,,,302.4422912597656,,
34,209,,,,,,111989.796875,229.23072814941406
34,209,,,109112.984375,223.40162658691406,,,
35,214,,,,,203.4439697265625,,
35,215,,,,,,122727.171875,227.633056640625
35,215,,,114961.671875,245.77474975585938,,,
36,219,,,,,254.38400268554688,,
36,221,,,,,,116267.71875,226.90341186523438
36,221,,,113675.9296875,218.3789520263672,,,
37,224,,,,,253.5542755126953,,
37,227,,,,,,120079.078125,231.46913146972656
37,227,,,111615.3515625,224.83401489257812,,,
38,229,,,,,253.62741088867188,,
38,233,,,,,,145766.25,241.70880126953125
38,233,,,104679.03125,224.31134033203125,,,
39,234,,,,,304.0482482910156,,
39,239,,,,,221.68898010253906,,
39,239,,,,,,159203.640625,252.29833984375
39,239,,,109701.5078125,217.60939025878906,,,
40,244,,,,,325.4573974609375,,
40,245,,,,,,106433.4296875,214.58953857421875
40,245,,,129240.96875,238.36512756347656,,,
41,249,,,,,195.41845703125,,
41,251,,,,,,125020.953125,228.62074279785156
41,251,,,98786.921875,224.66064453125,,,
42,254,,,,,198.96942138671875,,
42,257,,,,,,113321.546875,218.2355499267578
42,257,,,88838.5625,206.03819274902344,,,
43,259,,,,,152.77352905273438,,
43,263,,,,,,129487.4296875,266.9605712890625
43,263,,,99925.3515625,210.828857421875,,,
44,264,,,,,315.3944091796875,,
44,269,,,,,277.8475646972656,,
44,269,,,,,,113396.2265625,216.0693359375
44,269,,,128050.46875,231.17160034179688,,,
45,274,,,,,191.877197265625,,
45,275,,,,,,177669.484375,272.4330139160156
45,275,,,115141.3515625,230.39584350585938,,,
46,279,,,,,195.62210083007812,,
46,281,,,,,,115713.6484375,217.35345458984375
46,281,,,103052.4453125,206.12452697753906,,,
47,284,,,,,240.20819091796875,,
47,287,,,,,,107020.6953125,222.99952697753906
47,287,,,116926.0,233.67674255371094,,,
48,289,,,,,175.72816467285156,,
48,293,,,,,,121351.5703125,218.6753387451172
48,293,,,113806.0703125,232.26736450195312,,,
49,294,,,,,165.97891235351562,,
49,299,,,,,107.6719970703125,,
49,299,,,,,,104042.78125,207.05848693847656
49,299,,,90135.0546875,199.6582794189453,,,
50,300,104042.78125,207.05848693847656,,,,,
